Bedroom,Property Type,Property Subtype,Price,Location,Province,Living area,Kitchen Type,Furnished,HasFireplace,How many fireplaces?,HasGarden,Garden surface,HasTerrace,Terrace surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
3,Apartment,Apartment,"298,000",1420,Waals-brabant,123,Hyper equipped,No,No,0,No,0,No,0,0,3,No,As new
2,Apartment,Penthouse,"299,000",0,Unknown,140,USA hyper equipped,No,No,0,No,0,Yes,20,0,0,No,As new
3,Apartment,Penthouse,"299,000",0,Unknown,110,Installed,No,No,0,No,0,Yes,42,0,0,No,As new
2,Apartment,Ground floor,"299,000",8370,West-vlaanderen,160,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"300,000",0,Unknown,103,Semi equipped,No,No,0,No,0,Yes,11,0,2,No,Good
2,Apartment,Apartment,"306,800",3370,Vlaams-brabant,97,USA hyper equipped,0,No,0,No,0,Yes,14,0,0,No,As new
5,Apartment,Apartment,"315,000",1440,Waals-brabant,194,Installed,No,No,0,No,0,No,0,0,2,No,Good
3,Apartment,Ground floor,"329,000",2070,Antwerpen,110,Hyper equipped,No,No,0,No,0,No,0,0,0,No,As new
2,Apartment,Apartment,"348,000",9000,Oost-vlaanderen,115,Installed,No,No,0,No,0,No,0,0,2,No,Unknown
1,Apartment,Apartment,"350,000",0,Unknown,63,USA semi equipped,No,No,0,No,0,Yes,5,0,2,No,Good
2,Apartment,Apartment,"355,000",0,Unknown,100,Hyper equipped,No,No,0,No,0,Yes,6,0,2,No,As new
2,Apartment,Apartment,"370,000",1000,Brussels,92,Hyper equipped,No,No,0,No,0,Yes,24,0,3,No,Good
3,Apartment,Apartment,"375,000",0,Unknown,115,Installed,No,No,0,No,0,Yes,10,0,3,No,As new
2,Apartment,Apartment,"425,000",0,Unknown,100,Hyper equipped,0,No,0,No,0,Yes,8,0,2,No,As new
2,Apartment,Apartment,"430,000",1180,Brussels,107,Installed,0,No,0,No,0,Yes,10,0,0,No,To be done up
2,Apartment,Penthouse,"475,000",0,Unknown,116,Installed,No,No,0,No,0,Yes,40,0,3,No,As new
2,Apartment,Apartment,"495,000",0,Unknown,110,Installed,No,No,0,No,0,No,0,0,2,No,Just renovated
3,Apartment,Penthouse,"605,000",8770,West-vlaanderen,190,0,No,No,0,No,0,Yes,11,0,4,No,Unknown
2,Apartment,Apartment,"695,000",0,Unknown,134,Hyper equipped,No,No,0,No,0,No,0,0,0,No,Good
2,Apartment,Penthouse,"695,000",8310,West-vlaanderen,269,Installed,No,No,0,No,0,Yes,15,0,2,No,Good
4,Apartment,Apartment,"765,000",0,Unknown,230,Installed,No,No,0,No,0,Yes,17,0,0,No,To renovate
3,Apartment,Loft,"785,000",4000,Luik,270,Hyper equipped,No,No,0,No,0,Yes,17,0,2,No,Unknown
4,Apartment,Apartment,"895,000",1180,Brussels,263,Installed,0,No,0,No,0,Yes,5,0,3,No,As new
2,Apartment,Loft,"925,000",8000,West-vlaanderen,320,USA hyper equipped,Yes,Yes,1,No,0,Yes,50,0,2,No,As new
4,Apartment,Apartment,"1,100,000",1180,Brussels,230,Hyper equipped,Yes,No,0,No,0,Yes,17,0,0,No,As new
3,Apartment,Apartment,"1,200,000",1050,Brussels,216,Hyper equipped,No,No,0,No,0,Yes,12,0,2,No,As new
5,Apartment,Loft,"1,295,000",8000,West-vlaanderen,478,Installed,No,No,0,Yes,842,Yes,100,0,4,No,Unknown
